 Latitude, Longitude,DateGMT,TimeGMT
-27.201015,-109.4530883,03/11/2017,06:01:10
-27.2010283,-109.4531767,03/11/2017,06:05:14
-27.200985,-109.4531467,03/11/2017,06:09:19
-27.2009083,-109.4531517,03/11/2017,06:13:25
-27.2009317,-109.4529567,03/11/2017,06:17:33
-27.201055,-109.4529633,03/11/2017,06:21:41
-27.2009133,-109.453145,03/11/2017,06:25:46
-27.2010067,-109.453105,03/11/2017,06:29:52
-27.2009217,-109.4531667,03/11/2017,06:33:58
-27.2010383,-109.45331,03/11/2017,06:38:03
-27.2009817,-109.4531133,03/11/2017,06:42:12
-27.2010033,-109.4531833,03/11/2017,06:46:19
-27.201055,-109.45333,03/11/2017,06:50:25
-27.2010967,-109.4533333,03/11/2017,06:54:38
-27.2009767,-109.453155,03/11/2017,06:58:52
-27.20104,-109.45322,03/11/2017,07:03:07
-27.2009483,-109.453135,03/11/2017,07:07:24
-27.200415,-109.4526867,03/11/2017,07:12:00
-27.20103,-109.4530967,03/11/2017,07:16:10
-27.2010833,-109.4532967,03/11/2017,07:20:26
-27.2008783,-109.4531033,03/11/2017,07:24:46
-27.2009883,-109.4531817,03/11/2017,07:29:04
-27.201015,-109.453095,03/11/2017,07:33:12
-27.2009683,-109.4530933,03/11/2017,07:37:17
-27.2009367,-109.453045,03/11/2017,07:41:30
-27.200965,-109.4530517,03/11/2017,07:45:41
-27.2009067,-109.4530383,03/11/2017,07:49:48
-27.2009133,-109.45307,03/11/2017,07:53:54
-27.2009567,-109.45307,03/11/2017,07:58:02
-27.20095,-109.45302,03/11/2017,08:02:18
-27.200955,-109.4529917,03/11/2017,08:06:41
-27.200955,-109.4530283,03/11/2017,08:11:06
-27.2009667,-109.453045,03/11/2017,08:15:20
-27.2009567,-109.4529633,03/11/2017,08:19:39
-27.2010183,-109.4530583,03/11/2017,08:24:01
-27.2010117,-109.453085,03/11/2017,08:28:08
-27.2012417,-109.4535483,03/11/2017,08:32:11
-27.2012017,-109.4535533,03/11/2017,08:36:15
-27.200965,-109.4529533,03/11/2017,08:40:21
-27.2009817,-109.4530417,03/11/2017,08:44:27
-27.20094,-109.4529667,03/11/2017,08:48:32
-27.2009333,-109.4530217,03/11/2017,08:52:37
-27.2009883,-109.453045,03/11/2017,08:56:42
-27.2009667,-109.452965,03/11/2017,09:00:46
-27.200885,-109.45294,03/11/2017,09:04:50
-27.2009667,-109.45297,03/11/2017,09:08:55
-27.2009667,-109.4530183,03/11/2017,09:13:03
-27.20133,-109.4533083,03/11/2017,09:17:11
-27.2009467,-109.4530117,03/11/2017,09:21:15
-27.2008967,-109.4529867,03/11/2017,09:25:19
-27.2009067,-109.452975,03/11/2017,09:29:24
-27.2008517,-109.452995,03/11/2017,09:33:30
-27.2010767,-109.4530333,03/11/2017,09:37:36
-27.20113,-109.45307,03/11/2017,09:41:41
-27.2009583,-109.453025,03/11/2017,09:45:46
-27.2008983,-109.4530683,03/11/2017,09:49:50
-27.2009967,-109.45305,03/11/2017,09:53:54
-27.2010483,-109.453015,03/11/2017,09:57:58
-27.2009383,-109.4530467,03/11/2017,10:02:04
-27.2009017,-109.452885,03/11/2017,10:06:09
-27.20091,-109.45288,03/11/2017,10:10:13
-27.2009117,-109.453055,03/11/2017,10:14:17
-27.200925,-109.45297,03/11/2017,10:18:22
-27.2010217,-109.4529883,03/11/2017,10:22:27
-27.201105,-109.45292,03/11/2017,10:26:33
-27.201015,-109.4530767,03/11/2017,10:30:39
-27.2009333,-109.4529783,03/11/2017,10:34:44
-27.201055,-109.453025,03/11/2017,10:38:49
-27.2007867,-109.453105,03/11/2017,10:43:01
-27.2007783,-109.4530833,03/11/2017,10:47:13
-27.2011417,-109.4529733,03/11/2017,10:51:19
-27.2011333,-109.45295,03/11/2017,10:55:29
-27.201115,-109.4529767,03/11/2017,10:59:38
-27.2011617,-109.4529433,03/11/2017,11:03:45
-27.2007233,-109.4530617,03/11/2017,11:07:55
-27.2009867,-109.4530567,03/11/2017,11:12:01
-27.2007683,-109.4530583,03/11/2017,11:16:10
-27.2010433,-109.4526617,03/11/2017,11:20:27
-27.2010867,-109.4529833,03/11/2017,11:24:32
-27.2009767,-109.4530217,03/11/2017,11:28:43
-27.2010217,-109.452985,03/11/2017,11:32:48
-27.2011333,-109.4529933,03/11/2017,11:36:54
-27.2003617,-109.4528333,03/11/2017,11:41:08
-27.2003483,-109.4524333,03/11/2017,11:45:20
-27.2006733,-109.4524267,03/11/2017,11:49:27
-27.2009767,-109.452835,03/11/2017,11:53:39
-27.20078,-109.4526017,03/11/2017,11:57:55
-27.2011,-109.4530983,03/11/2017,12:02:08
-27.2009167,-109.452835,03/11/2017,12:06:19
-27.2009567,-109.45301,03/11/2017,12:10:55
-27.20096,-109.4529483,03/11/2017,12:15:05
-27.2009517,-109.4529417,03/11/2017,12:19:08
-27.2009667,-109.4530133,03/11/2017,12:23:13
-27.200895,-109.4530017,03/11/2017,12:27:17
-27.201025,-109.4529833,03/11/2017,12:31:55
-27.2010267,-109.4530717,03/11/2017,12:35:58
-27.198435,-109.4596217,03/11/2017,12:40:01
-27.1915467,-109.4670567,03/11/2017,12:44:04
-27.17218,-109.4704417,03/11/2017,12:48:08
-27.16597,-109.4799717,03/11/2017,12:52:12
-27.1696667,-109.4865367,03/11/2017,12:56:17
-27.1699083,-109.4859417,03/11/2017,13:00:22
-27.1699733,-109.4855933,03/11/2017,13:04:26
-27.169025,-109.4916367,03/11/2017,13:08:30
-27.170335,-109.4946867,03/11/2017,13:12:35
-27.18826,-109.4992517,03/11/2017,13:16:40
-27.20427,-109.5229133,03/11/2017,13:20:45
-27.2142417,-109.5359483,03/11/2017,13:24:48
-27.2143867,-109.5351917,03/11/2017,13:28:53
-27.217315,-109.5372283,03/11/2017,13:32:57
-27.21712,-109.5356967,03/11/2017,13:37:01
-27.2161483,-109.536095,03/11/2017,13:41:06
-27.2124967,-109.5353333,03/11/2017,13:45:11
-27.21005,-109.5360467,03/11/2017,13:49:16
-27.207315,-109.53868,03/11/2017,13:53:20
-27.2071167,-109.538065,03/11/2017,13:57:24
-27.2151317,-109.535145,03/11/2017,14:01:29
-27.214435,-109.5331367,03/11/2017,14:05:33
-27.21589,-109.52504,03/11/2017,14:09:37
-27.21734,-109.5213167,03/11/2017,14:13:41
-27.2180017,-109.5171283,03/11/2017,14:17:46
-27.2175033,-109.5124183,03/11/2017,14:21:50
-27.2134967,-109.4994333,03/11/2017,14:25:55
-27.2022983,-109.4641983,03/11/2017,14:30:00
-27.2011167,-109.4531233,03/11/2017,14:34:07
-27.2010317,-109.45305,03/11/2017,14:38:13
-27.2010533,-109.4530383,03/11/2017,14:42:19
-27.2011983,-109.453315,03/11/2017,14:46:24
-27.2011817,-109.4532367,03/11/2017,14:50:29
-27.2007217,-109.4527833,03/11/2017,14:54:35
-27.201045,-109.453125,03/11/2017,14:58:40
-27.2008367,-109.4529133,03/11/2017,15:02:46
-27.2011733,-109.45315,03/11/2017,15:06:51
-27.2011033,-109.4531833,03/11/2017,15:10:56
-27.2011183,-109.453175,03/11/2017,15:15:01
-27.2011167,-109.4531433,03/11/2017,15:19:07
-27.2011283,-109.4531633,03/11/2017,15:23:11
-27.20108,-109.4530967,03/11/2017,15:27:15
-27.2010867,-109.4531717,03/11/2017,15:31:19
-27.20111,-109.4531583,03/11/2017,15:35:24
-27.2011,-109.4531367,03/11/2017,15:39:28
-27.201105,-109.4531183,03/11/2017,15:43:32
-27.2010783,-109.4531233,03/11/2017,15:47:36
-27.20111,-109.4531283,03/11/2017,15:51:41
-27.20109,-109.4530967,03/11/2017,15:55:45
-27.20107,-109.4531167,03/11/2017,15:59:49
-27.20106,-109.4531317,03/11/2017,16:03:53
-27.2010117,-109.4531733,03/11/2017,16:07:58
-27.2010667,-109.45308,03/11/2017,16:12:02
-27.2008933,-109.453285,03/11/2017,16:16:06
-27.2010567,-109.4531183,03/11/2017,16:20:10
-27.2010833,-109.4530467,03/11/2017,16:24:16
-27.2010333,-109.45312,03/11/2017,16:28:21
-27.201165,-109.4529683,03/11/2017,16:32:26
-27.2012183,-109.4529233,03/11/2017,16:36:31
-27.2009217,-109.4531033,03/11/2017,16:40:37
-27.20098,-109.45309,03/11/2017,16:44:42
-27.2010633,-109.4530567,03/11/2017,16:48:47
-27.20101,-109.4530717,03/11/2017,16:52:52
-27.20098,-109.4530767,03/11/2017,16:56:58
-27.200965,-109.4531,03/11/2017,17:01:02
-27.2010617,-109.45318,03/11/2017,17:05:06
-27.2010133,-109.4529017,03/11/2017,17:09:10
-27.20104,-109.4529217,03/11/2017,17:13:15
-27.2010733,-109.453185,03/11/2017,17:17:19
-27.201195,-109.4530383,03/11/2017,17:21:23
-27.201125,-109.4531133,03/11/2017,17:25:27
-27.2010967,-109.4529917,03/11/2017,17:29:32
-27.2013317,-109.452985,03/11/2017,17:33:36
-27.2012883,-109.4531617,03/11/2017,17:37:40
-27.20111,-109.453185,03/11/2017,17:41:44
-27.2012433,-109.453125,03/11/2017,17:45:49
-27.2011917,-109.4531133,03/11/2017,17:49:53
-27.2011617,-109.45312,03/11/2017,17:53:57
-27.2012,-109.4531433,03/11/2017,17:58:01
-27.2012633,-109.453185,03/11/2017,18:02:06
-27.2012817,-109.45316,03/11/2017,18:06:10
-27.2011983,-109.4531817,03/11/2017,18:10:14
-27.20127,-109.4531317,03/11/2017,18:14:18
-27.201275,-109.4532083,03/11/2017,18:18:23
-27.20126,-109.4532133,03/11/2017,18:22:27
-27.20127,-109.45322,03/11/2017,18:26:31
-27.2012783,-109.4531683,03/11/2017,18:30:35
-27.2010967,-109.4532567,03/11/2017,18:34:40
-27.2012133,-109.4531817,03/11/2017,18:38:44
-27.2011583,-109.453195,03/11/2017,18:42:48
-27.2010933,-109.4532717,03/11/2017,18:46:52
-27.2010617,-109.4532083,03/11/2017,18:50:57
-27.2010533,-109.4532383,03/11/2017,18:55:01
-27.2011333,-109.4532017,03/11/2017,18:59:05
-27.20106,-109.453215,03/11/2017,19:03:09
